PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,FamilySize,FarePerPerson,AgeClass,LogFare,AgeGroup
1,0,1,-0.5657364610748746,1,0,-0.5641087873940193,True,False,True,2,-0.28205439369700963,-0.5657364610748746,0.44731619686143376,Young
2,1,3,0.6638610320657843,1,0,0.9425480546638041,False,False,False,2,0.47127402733190205,1.9915830961973529,0.6640005415193371,Middle
3,1,1,-0.2583370877897099,0,0,-0.548226529750121,False,False,True,1,-0.548226529750121,-0.2583370877897099,0.4371101015091958,Young
4,1,3,0.4333115021019107,1,0,0.5147082688618853,False,False,True,2,0.2573541344309426,1.2999345063057322,0.41522285861159075,Middle
5,0,1,0.4333115021019107,0,0,-0.5452853709271769,True,False,True,1,-0.5452853709271769,0.4333115021019107,0.4352085993953696,Middle
6,0,1,-0.10463740114712752,0,0,-0.5356783697479123,True,True,False,1,-0.5356783697479123,-0.10463740114712752,0.42897221810398073,Middle
7,0,3,1.893458525206443,0,0,0.4855907965147383,True,False,True,1,0.4855907965147383,5.68037557561933,0.3958125359070791,Old
8,0,1,-2.1027333275006983,3,1,-0.23881662157639924,True,False,True,5,-0.04776332431527985,-2.1027333275006983,0.214156586508653,Young
9,1,1,-0.1814872444684187,0,2,-0.47273757093690794,False,False,True,3,-0.15757919031230264,-0.1814872444684187,0.38712296202700036,Middle
10,1,2,-1.180535207645204,1,0,-0.027152009260873307,False,False,False,2,-0.013576004630436653,-2.361070415290408,0.026789932905833595,Young
11,1,1,-1.949033640858116,1,1,-0.3417571803794436,False,False,True,3,-0.11391906012648119,-1.949033640858116,0.29398008356370053,Young
12,1,3,2.200857898491608,0,0,-0.10999386513144661,False,False,True,1,-0.10999386513144661,6.602573695474824,0.1043544884003627,Old
13,0,1,-0.719436147717457,0,0,-0.5452853709271769,True,False,True,1,-0.5452853709271769,-0.719436147717457,0.4352085993953696,Young
14,0,1,0.7407108753870755,1,5,0.0011819383758412065,True,False,True,7,0.00016884833940588665,0.7407108753870755,0.0011812404365724011,Middle
15,0,1,-1.180535207645204,0,0,-0.5498924021074366,False,False,True,1,-0.5498924021074366,-1.180535207645204,0.4381855105264125,Young
16,1,2,1.9703083685277343,0,0,-0.35822766978793064,False,False,True,1,-0.35822766978793064,3.9406167370554686,0.30618066588580645,Old
17,0,1,-2.1027333275006983,4,1,-0.04940599337879768,True,True,False,6,-0.008234332229799614,-2.1027333275006983,0.0482242834975402,Young
18,1,2,-0.10463740114712752,0,0,-0.4288154815385896,True,False,True,1,-0.4288154815385896,-0.20927480229425505,0.3568457664247534,Middle
19,0,1,0.12591212881674602,1,0,-0.3111691286208247,False,False,True,2,-0.15558456431041234,0.12591212881674602,0.27091920379937073,Middle
20,1,1,-0.10463740114712752,0,0,-0.5646970191586081,False,False,False,1,-0.5646970191586081,-0.10463740114712752,0.4476922072678882,Middle
21,0,2,0.4333115021019107,0,0,-0.12293496395240078,True,False,True,1,-0.12293496395240078,0.8666230042038214,0.1159457613031619,Middle
22,1,2,0.35646165878061953,0,0,-0.4288154815385896,True,False,True,1,-0.4288154815385896,0.7129233175612391,0.3568457664247534,Middle
23,1,1,-1.1036853643239128,0,0,-0.5457747797553149,False,True,False,1,-0.5457747797553149,-1.1036853643239128,0.43552526022263915,Young
24,1,3,-0.10463740114712752,0,0,0.10059310659135261,True,False,True,1,0.10059310659135261,-0.3139122034413826,0.09584922230512842,Middle
25,0,1,-1.6416342675729512,3,1,-0.23881662157639924,False,False,True,5,-0.04776332431527985,-1.6416342675729512,0.214156586508653,Young
26,1,1,0.6638610320657843,1,5,0.003828981316490934,False,False,True,7,0.0005469973309272763,0.6638610320657843,0.0038216694263137245,Middle
27,0,1,-0.10463740114712752,0,0,-0.5646970191586081,True,False,False,1,-0.5646970191586081,-0.10463740114712752,0.4476922072678882,Middle
28,0,3,-0.7962859910387481,3,2,5.124238728242953,True,False,True,6,0.8540397880404922,-2.3888579731162443,1.8122544594397831,Young
29,1,1,-0.10463740114712752,0,0,-0.5493041703428477,False,True,False,1,-0.5493041703428477,-0.10463740114712752,0.4378059077758923,Middle
30,0,1,-0.10463740114712752,0,0,-0.5489135844511608,True,False,True,1,-0.5489135844511608,-0.10463740114712752,0.4375537719193007,Middle
31,0,3,0.8175607187083667,0,0,-0.08244579513222278,True,False,False,1,-0.08244579513222278,2.4526821561250998,0.07922310585991768,Middle
32,1,3,-0.10463740114712752,1,0,2.7128315501938722,False,False,False,2,1.3564157750969361,-0.3139122034413826,1.3117948065907623,Middle
33,1,1,-0.10463740114712752,0,0,-0.5523441521022427,False,True,False,1,-0.5523441521022427,-0.10463740114712752,0.4397661446672451,Middle
34,0,2,2.8156566450619374,0,0,-0.4876386579974721,True,False,True,1,-0.4876386579974721,5.631313290123875,0.3971900695538421,Old
35,0,3,-0.10463740114712752,1,0,1.1987229881422372,True,False,False,2,0.5993614940711186,-0.3139122034413826,0.7878767318968346,Middle
36,0,3,0.9712604053509489,1,0,0.4888260712199769,True,False,True,2,0.24441303560998845,2.913781216052847,0.39798793775892494,Middle
37,1,1,-0.10463740114712752,0,0,-0.5645981962221572,True,False,False,1,-0.5645981962221572,-0.10463740114712752,0.44762904739981435,Middle
38,0,1,-0.6425863043961658,0,0,-0.5452853709271769,True,False,True,1,-0.5452853709271769,-0.6425863043961658,0.4352085993953696,Young
39,0,1,-0.8731358343600393,2,0,-0.3111691286208247,False,False,True,3,-0.10372304287360823,-0.8731358343600393,0.27091920379937073,Young
40,1,1,-1.180535207645204,1,0,-0.4701869980056509,False,False,False,2,-0.23509349900282545,-1.180535207645204,0.38538960222785273,Young
41,0,1,0.8175607187083667,1,0,-0.511756160345614,False,False,True,2,-0.255878080172807,0.8175607187083667,0.41327199513930984,Middle
42,0,2,-0.1814872444684187,1,0,-0.2405813168701657,False,False,True,2,-0.12029065843508285,-0.3629744889368374,0.2155800736902693,Middle
43,0,1,-0.10463740114712752,0,0,-0.5489135844511608,True,False,False,1,-0.5489135844511608,-0.10463740114712752,0.4375537719193007,Middle
44,1,2,-2.025883484179407,1,2,0.24363224832288793,False,False,False,4,0.060908062080721984,-4.051766968358814,0.21803633029346575,Young
45,1,1,-0.7962859910387481,0,0,-0.5493041703428477,False,True,False,1,-0.5493041703428477,-0.7962859910387481,0.4378059077758923,Young
